iter	RMSE
0	0.4248958008
1	0.4117123803
2	0.3996005744
3	0.387601591
4	0.3758684097
5	0.3653523812
6	0.3550646793
7	0.3457805597
8	0.3363147457
9	0.3271495901
10	0.3190335483
11	0.3112843336
12	0.3036836422
13	0.2968201553
14	0.2908129821
15	0.2840390216
16	0.2784524939
17	0.2729367123
18	0.2672996701
19	0.2623636347
20	0.2574649266
21	0.2533522596
22	0.2492895008
23	0.2451045867
24	0.2415065532
25	0.2378588461
26	0.2347122451
27	0.2312481295
28	0.2282442887
29	0.2257249956
30	0.2231800623
31	0.2207736525
32	0.2186098187
33	0.2163256435
34	0.214428831
35	0.212563824
36	0.210756325
37	0.2091209228
38	0.2076126124
39	0.2060203221
40	0.2044542662
41	0.2029646972
42	0.2017269573
43	0.2000832057
44	0.1990280721
45	0.1979005109
46	0.1968976759
47	0.1960755542
48	0.1952139655
49	0.1941354514
50	0.1932161186
51	0.1919921426
52	0.1906222266
53	0.1897595186
54	0.1889828093
55	0.188452967
56	0.187842467
57	0.1873378537
58	0.1866900938
59	0.1861487981
60	0.1850155527
61	0.184420473
62	0.1838891098
63	0.1832263764
64	0.1827367333
65	0.1824405274
66	0.181908697
67	0.1815406622
68	0.1804820575
69	0.1801562725
70	0.179901381
71	0.1796230502
72	0.1792020746
73	0.1788865698
74	0.1786372512
75	0.1783435118
76	0.1775701953
77	0.1768796204
78	0.1765573604
79	0.176403853
80	0.176230668
81	0.1758575286
82	0.175696116
83	0.1754882474
84	0.1749316944
85	0.1746824444
86	0.1745347437
87	0.1743294865
88	0.1736532744
89	0.1735484446
90	0.1734185429
91	0.17327694
92	0.1727832711
93	0.1726208122
94	0.1723811903
95	0.171910899
96	0.1717771771
97	0.1717013879
98	0.1716263076
99	0.1715012615
100	0.1713617186
101	0.1710449402
102	0.1708906536
103	0.1703018675
104	0.1701972612
105	0.170119234
106	0.1698962542
107	0.1695166614
108	0.1690127492
109	0.1688764618
110	0.1686059291
111	0.1681521748
112	0.1680610676
113	0.1675905129
114	0.1675425648
115	0.1674874873
116	0.1674205512
117	0.1672980336
118	0.1671659978
119	0.1670689578
120	0.1670153182
121	0.1669377755
122	0.1668627761
123	0.1668072289
124	0.1667093083
125	0.1666349441
126	0.1662409741
127	0.1659203583
128	0.1658741737
129	0.1657326807
130	0.165630686
131	0.1655846928
132	0.1655355412
133	0.1652484437
134	0.16517919
135	0.1651150863
136	0.1650531319
137	0.1648955912
138	0.1645771935
139	0.1643166663
140	0.1642632379
141	0.1642217143
142	0.1638809216
143	0.1636598737
144	0.1636271073
145	0.1634888244
146	0.1634283444
147	0.1633740907
148	0.1633448313
149	0.16331276
150	0.1632836785
151	0.1629934896
152	0.1629491497
153	0.162904171
154	0.162860377
155	0.1626075629
156	0.1621265984
157	0.1620835429
158	0.1620517493
159	0.1617083551
160	0.1612319928
161	0.1612015839
162	0.1611659812
163	0.1607571964
164	0.1607198333
165	0.1602669846
166	0.1602481786
167	0.1602097471
168	0.1601903441
169	0.1601490186
170	0.1601318569
171	0.1601184635
172	0.1601013059
173	0.1597299593
174	0.1596949584
175	0.1595447946
176	0.1595288345
177	0.1595031718
178	0.1594836815
179	0.1592822008
180	0.1592673635
181	0.1592486741
182	0.1592282812
183	0.1592127034
184	0.1592007058
185	0.159171032
186	0.1591549351
187	0.1589157859
188	0.1588997473
189	0.1588756899
190	0.1586879363
191	0.1586756099
192	0.1586594011
193	0.1586292125
194	0.1586044368
195	0.1583775052
196	0.1583152412
197	0.1580293663
198	0.1579988243
199	0.1576844729
200	0.1576449381
