iter	Passed	Remaining
415	2969	4168
416	2976	4161
417	2986	4158
418	2993	4150
419	3001	4145
420	3010	4139
421	3020	4136
422	3026	4128
423	3033	4121
424	3042	4115
425	3050	4110
426	3055	4100
427	3060	4090
428	3069	4085
429	3077	4080
430	3086	4074
431	3092	4065
432	3101	4061
433	3115	4062
434	3121	4054
435	3126	4044
436	3134	4038
437	3141	4030
438	3150	4025
439	3155	4016
440	3161	4007
441	3169	4000
442	3178	3996
443	3186	3990
444	3193	3983
445	3200	3975
446	3211	3972
447	3218	3965
448	3221	3953
449	3229	3946
450	3237	3940
451	3244	3933
452	3250	3925
453	3257	3917
454	3264	3910
455	3271	3902
456	3280	3897
457	3286	3888
458	3293	3882
459	3301	3876
460	3310	3870
461	3316	3862
462	3324	3855
463	3331	3847
464	3338	3841
465	3345	3834
466	3351	3825
467	3359	3819
468	3365	3810
469	3373	3804
470	3379	3796
471	3388	3790
472	3394	3781
473	3400	3773
474	3407	3765
475	3413	3757
476	3419	3749
477	3425	3741
478	3434	3735
479	3443	3729
480	3449	3721
481	3452	3710
482	3459	3703
483	3467	3696
484	3471	3686
485	3478	3678
486	3483	3669
487	3490	3662
488	3496	3653
489	3503	3647
490	3512	3641
491	3519	3634
492	3527	3628
493	3536	3622
494	3542	3613
495	3547	3604
496	3555	3598
497	3561	3590
498	3569	3583
499	3574	3574
500	3580	3565
501	3588	3559
502	3596	3553
503	3604	3547
504	3611	3539
505	3615	3529
506	3621	3521
507	3627	3513
508	3636	3507
509	3641	3498
510	3646	3489
511	3653	3482
512	3657	3471
513	3665	3465
514	3671	3457
515	3678	3450
516	3685	3442
517	3690	3434
518	3695	3424
519	3702	3417
520	3709	3410
521	3717	3403
522	3724	3396
523	3733	3391
524	3747	3390
525	3754	3383
526	3762	3376
527	3769	3369
528	3775	3361
529	3783	3355
530	3790	3348
531	3798	3341
532	3805	3334
533	3812	3326
534	3819	3319
535	3828	3313
536	3835	3307
537	3841	3299
538	3849	3292
539	3856	3285
540	3865	3279
541	3871	3271
542	3878	3264
543	3887	3258
544	3895	3252
545	3901	3244
546	3906	3235
547	3913	3228
548	3920	3220
549	3929	3214
550	3935	3206
551	3940	3198
552	3947	3190
553	3954	3183
554	3963	3177
555	3969	3170
556	3977	3163
557	3985	3157
558	3994	3151
559	4001	3143
560	4011	3138
561	4018	3132
562	4027	3125
563	4032	3117
564	4035	3106
565	4042	3099
566	4050	3093
567	4057	3086
568	4064	3079
569	4071	3071
570	4078	3064
571	4086	3057
572	4094	3050
573	4099	3042
574	4105	3034
575	4112	3027
576	4119	3020
577	4127	3013
578	4135	3006
579	4142	2999
580	4149	2992
581	4157	2986
582	4163	2977
583	4169	2970
584	4175	2962
585	4184	2956
586	4191	2949
587	4197	2941
588	4204	2933
589	4211	2926
590	4219	2920
591	4225	2912
592	4232	2904
593	4239	2897
594	4245	2889
595	4253	2883
596	4258	2874
597	4265	2867
598	4271	2859
599	4279	2852
600	4287	2846
601	4293	2838
602	4299	2830
603	4305	2822
604	4312	2815
605	4320	2809
606	4327	2801
607	4334	2794
608	4342	2787
609	4349	2781
610	4360	2776
611	4368	2769
612	4375	2762
613	4382	2754
614	4388	2747
615	4393	2739
616	4400	2731
617	4407	2724
618	4416	2718
619	4422	2710
620	4427	2702
621	4435	2695
622	4444	2689
623	4452	2682
624	4457	2674
625	4464	2667
626	4470	2659
627	4478	2652
628	4485	2645
629	4491	2638
630	4499	2631
631	4505	2623
632	4511	2615
633	4518	2608
634	4523	2600
635	4530	2593
636	4537	2585
637	4545	2578
638	4551	2571
639	4557	2563
640	4564	2556
641	4571	2549
642	4584	2545
643	4590	2537
644	4596	2530
645	4605	2524
646	4614	2517
647	4621	2510
648	4635	2507
649	4643	2500
650	4649	2492
651	4654	2484
652	4661	2476
653	4668	2470
