,clusters,dbs_silhouette,km_silhouette,gmm_silhouette,msc_silhouette
0,164,-0.1294285081825895,0.4140890647305935,0.3754046278688696,0.2126617469082856
1,115,-0.2126122473075288,0.3969712811633938,0.3470972674908896,0.2221129970982923
2,74,-0.2838836492838176,0.3605574357882938,0.3041491407431659,0.1778503312684675
3,49,-0.2950644280702507,0.3239558108569502,0.2716129881139013,0.1425834960197342
4,32,-0.2820954088587871,0.305115045101539,0.2194514040346314,0.1471837741943822
5,27,-0.2826295778741512,0.283102356257205,0.2000170570037838,0.1433962405654563
6,19,-0.2450260409820935,0.261848895022345,0.1867057159468919,0.2307439126821231
7,10,-0.1193038903518383,0.2543845363157965,0.1210796255375641,0.1849648673933968
8,7,-0.0408530244772868,0.2311256801503444,0.1374839808785915,0.187830058145782
9,6,0.045506457080387,0.220333542977445,0.1380583615606384,0.1902800386868461
10,4,0.0742925208980413,0.1948712004033815,0.0876176959261081,0.1986925659573323
