,eps,clusters,ch
0,5.2,145,578.8718359692101
1,5.3,134,618.9341945688643
2,5.4,122,403.3626341209836
3,5.5,115,412.12790622076324
4,5.6,110,422.04512590884127
5,5.7,101,449.2223207280124
6,5.8,93,225.22705538365972
7,5.9,81,230.96336513489214
8,6.0,74,216.6157239601692
9,6.2,63,213.32258340926506
10,6.4,53,237.80394807604043
11,6.7,42,255.07544941795928
12,7.0,32,279.3448951362764
13,7.8,22,293.1218782997523
14,8.4,12,325.99672997526955
15,9.7,5,509.31351588322053
16,10.3,2,411.9927557891715
