,clusters,vi
0,212,-1.0
1,154,2.993577163116237
2,4,4.696457181232237
3,13,3.0485281002419318
4,17,1.9126444667336155
5,18,1.8509772135641305
6,18,2.28119309763342
7,11,2.3303237062224653
8,5,1.8073870265715462
9,6,0.5039926242209671
10,4,0.8958429816800522
