,clusters,ch
0,145,6895.2995493236895
1,134,7025.346593428941
2,122,7221.945259628888
3,115,7280.310501527628
4,110,7373.2452125048285
5,101,7521.332182417684
6,93,7616.96264912676
7,81,7839.209893511819
8,74,8087.616501842316
9,63,8373.760817664568
10,53,8629.670833508708
11,42,9278.099322036625
12,32,9991.090764490245
13,22,11275.016382021624
14,12,14645.343050345075
15,5,20779.638066160867
16,2,24473.038164999816
