,eps,clusters,vi
0,5.2,145,-1.0
1,5.3,134,0.2703403246262313
2,5.4,122,0.9479906603506788
3,5.5,115,0.2973072205349844
4,5.6,110,0.3427513126037945
5,5.7,101,0.30367646376596663
6,5.8,93,0.7420650738653648
7,5.9,81,0.41297667624830947
8,6.0,74,0.41116414595728173
9,6.2,63,0.548508645930532
10,6.4,53,0.30692854788347185
11,6.7,42,0.3866380355624487
12,7.0,32,0.3845349506713274
13,7.8,22,0.4174266576421442
14,8.4,12,0.34896032167591123
15,9.7,5,0.3102334119757487
16,10.3,2,0.3538779546411688
