,clusters,dbs_vi,km_vi,gmm_vi,msc_vi
0,164,-1.0,-1.0,-1.0,-1.0
1,115,1.2689668094296742,1.3587362080870748,1.6399824521001456,2.993577163116237
2,74,1.2869077632656172,1.4446629383281346,1.5602149009797548,4.696457181232237
3,49,0.6823967636335241,1.3829210096023128,1.7124714623036423,3.048528100241932
4,32,0.4548102098249734,1.5934521811611335,1.941178921892516,1.9126444667336155
5,27,0.3549925312424367,1.346492309893708,1.858708858808514,1.8509772135641305
6,19,0.3616951649408543,1.7356745321495275,1.9772850316891304,2.28119309763342
7,10,0.3284660486613159,1.7916022828132323,2.706724258971465,2.3303237062224653
8,7,0.2900435371574765,0.9840238211867472,2.2130306799242825,1.8073870265715464
9,6,0.2844780015502109,1.0427039804701248,1.5583147547250595,0.5039926242209671
10,4,0.3255270138996641,1.4073036542880946,2.298090722902409,0.8958429816800522
