,clusters,silhouette
0,164,1.1255906344058766
1,115,1.1681243110070971
2,74,1.2099411228984702
3,49,1.2620410856128716
4,32,1.323265261502835
5,27,1.4365107524468195
6,19,1.5335016924286633
7,10,1.4886685004006064
8,7,1.5075346314031048
9,6,1.4513248691026774
10,4,1.6161699186708327
