,eps,clusters,silhouette
0,5.0,164,562.6055885574776
1,5.5,115,412.1279062207633
2,6.0,74,216.6157239601693
3,6.5,49,233.07574466103674
4,7.0,32,279.344895136276
5,7.5,27,262.91901859452247
6,8.0,19,263.1215064072165
7,8.5,10,270.17603030241594
8,9.0,7,377.30420572534376
9,9.5,6,437.6951678034356
10,10.0,4,449.43626545018964
