,clusters,ch
0,145,4758.348927944963
1,134,4815.239085565011
2,122,5219.005815162481
3,115,5013.359074308413
4,110,5219.843986929744
5,101,5102.193713382215
6,93,5191.6841576547
7,81,5297.145075491733
8,74,5279.883848108935
9,63,5331.996113412783
10,53,5917.105006681083
11,42,5678.199507603947
12,32,6237.710366878257
13,22,6625.565316677984
14,12,7791.880839488693
15,5,9288.829609721108
16,2,4559.158467829579
