,clusters,dbi
0,212,1.5954564599175656
1,154,1.575827264789564
2,4,1.3896507710697807
3,13,1.918014148238887
4,17,1.8744643020434042
5,18,1.7987686684777984
6,18,1.5109161608811261
7,11,1.6206460121388735
8,5,1.4995011404499212
9,6,1.3556446644188294
10,4,1.1751534277254105
