,clusters,ch
0,164,4766.174859471139
1,115,5013.359074308413
2,74,5279.883848108933
3,49,6072.245853478727
4,32,6237.7103668782565
5,27,6359.455740459701
6,19,7375.308637330305
7,10,7907.430614983736
8,7,9949.115768930209
9,6,9548.678589821086
10,4,9155.689531481785
