,eps,clusters,silhouette
0,5.0,164,-0.1294285081747646
1,5.5,115,-0.21261224730120692
2,6.0,74,-0.2838836492753378
3,6.5,49,-0.2950644280619151
4,7.0,32,-0.2820954088509753
5,7.5,27,-0.28262957787297366
6,8.0,19,-0.24502604098250746
7,8.5,10,-0.11930389035164148
8,9.0,7,-0.04085302447708448
9,9.5,6,0.04550645708058666
10,10.0,4,0.07429252089790069
