,clusters,vi,silhouette,dbi,ch
0,164,-1.0,-0.1294285081825895,1.449586795361541,562.6055885574773
1,115,1.2689668094296742,-0.2126122473075288,1.4773847312844246,412.1279062207631
2,74,1.2869077632656172,-0.2838836492838176,1.4651992196966497,216.6157239601692
3,49,0.6823967636335241,-0.2950644280702507,1.5007788374260491,233.07574466103677
4,32,0.4548102098249734,-0.2820954088587871,1.4701444173363087,279.3448951362767
5,27,0.3549925312424367,-0.2826295778741512,1.5423737968212852,262.9190185945224
6,19,0.3616951649408543,-0.2450260409820935,1.6182367428122368,263.12150640721705
7,10,0.3284660486613159,-0.1193038903518383,1.8336483007806728,270.17603030241554
8,7,0.2900435371574765,-0.0408530244772868,1.9078471079329693,377.3042057253444
9,6,0.2844780015502109,0.045506457080387,1.8658592735876236,437.6951678034354
10,4,0.3255270138996641,0.0742925208980413,2.5753998014873534,449.4362654501896
