,eps,clusters,vi
0,5.1,152,-1.0
1,5.199999999999999,145,0.3362804862736501
2,5.299999999999999,134,0.2703403246262313
3,5.399999999999999,122,0.9479906603506788
4,5.499999999999998,115,0.2973072205349844
5,5.599999999999998,110,0.3427513126037945
6,5.6999999999999975,101,0.30367646376596663
7,5.799999999999997,93,0.7420650738653648
8,5.899999999999997,81,0.41297667624830947
9,5.9999999999999964,74,0.41116414595728173
10,6.099999999999996,68,0.5029016314842895
11,6.199999999999996,63,0.2864994157082438
12,6.299999999999995,58,0.2781227324574686
13,6.399999999999995,53,0.27100235336813217
14,6.499999999999995,49,0.314627437140286
15,6.599999999999994,46,0.2613522815530535
16,6.699999999999994,42,0.2994482091340177
17,6.799999999999994,40,0.25393329821612276
18,6.899999999999993,36,0.320054555402647
19,6.999999999999993,32,0.2987563029763379
20,7.0999999999999925,31,0.2582266192558813
21,7.199999999999992,31,0.2460239816387108
22,7.299999999999992,31,0.25884046613780787
23,7.3999999999999915,30,0.25433072742827295
24,7.499999999999991,27,0.3183667690716229
25,7.599999999999991,26,0.2657365822594307
26,7.69999999999999,23,0.27690604031130006
27,7.79999999999999,22,0.2581707252656627
28,7.89999999999999,20,0.2948049449808545
29,7.999999999999989,19,0.2618306951530373
30,8.099999999999989,16,0.28323016281025837
31,8.199999999999989,15,0.2732016177317389
32,8.299999999999988,13,0.28225154035076205
33,8.399999999999988,12,0.2781514990289572
34,8.499999999999988,10,0.28913004457159014
35,8.599999999999987,10,0.281236676727815
36,8.699999999999987,9,0.2818881281847792
37,8.799999999999986,7,0.2850034979825563
38,8.899999999999986,7,0.2810536647462596
39,8.999999999999986,7,0.2812391300870986
40,9.099999999999985,7,0.28104048030580997
41,9.199999999999985,7,0.28122178668155795
42,9.299999999999985,7,0.2799719829091138
43,9.399999999999984,6,0.2817216975245188
44,9.499999999999984,6,0.2796941919260246
45,9.599999999999984,6,0.28082844658862
46,9.699999999999983,5,0.2865547831221361
47,9.799999999999983,4,0.3172955089698915
48,9.899999999999983,4,0.28026580441116117
49,9.999999999999982,4,0.2802647071991488
50,10.099999999999982,4,0.279760364788695
51,10.199999999999982,3,0.2871960283073778
52,10.299999999999981,2,0.3084696110662705
53,10.39999999999998,2,0.280056316253946
