,eps,clusters,silhouette
0,5.1,152,-0.13365878356677993
1,5.199999999999999,145,-0.14931165390354623
2,5.299999999999999,134,-0.14907214739833632
3,5.399999999999999,122,-0.20848031017035534
4,5.499999999999998,115,-0.2126122473482099
5,5.599999999999998,110,-0.2093017987016374
6,5.6999999999999975,101,-0.2084625213612731
7,5.799999999999997,93,-0.26113324343026095
8,5.899999999999997,81,-0.265548905249775
9,5.9999999999999964,74,-0.2838836493240154
10,6.099999999999996,68,-0.29851579223116603
11,6.199999999999996,63,-0.2967468912982429
12,6.299999999999995,58,-0.2989526399741707
13,6.399999999999995,53,-0.28829302030976134
14,6.499999999999995,49,-0.2950644280787804
15,6.599999999999994,46,-0.2916720196688679
16,6.699999999999994,42,-0.29396425075499155
17,6.799999999999994,40,-0.2777052890943723
18,6.899999999999993,36,-0.2773173964068898
19,6.999999999999993,32,-0.28209540886780604
20,7.0999999999999925,31,-0.2786722145193618
21,7.199999999999992,31,-0.278599011491145
22,7.299999999999992,31,-0.28075006768204813
23,7.3999999999999915,30,-0.2810392066483658
24,7.499999999999991,27,-0.28262957788436144
25,7.599999999999991,26,-0.26013757090917256
26,7.69999999999999,23,-0.2530222500406739
27,7.79999999999999,22,-0.2447205703925276
28,7.89999999999999,20,-0.2516313599432663
29,7.999999999999989,19,-0.24502604098124095
30,8.099999999999989,16,-0.236061728769416
31,8.199999999999989,15,-0.2231140964401719
32,8.299999999999988,13,-0.17245592972679138
33,8.399999999999988,12,-0.17032064571005204
34,8.499999999999988,10,-0.1193038903518574
35,8.599999999999987,10,-0.11989287702520203
36,8.699999999999987,9,-0.09167976997274435
37,8.799999999999986,7,-0.04086634130079891
38,8.899999999999986,7,-0.0408465547096388
39,8.999999999999986,7,-0.04085302447695689
40,9.099999999999985,7,-0.04084949771267634
41,9.199999999999985,7,-0.040823101188332246
42,9.299999999999985,7,-0.04083061379358951
43,9.399999999999984,6,0.04550645708071818
44,9.499999999999984,6,0.04550645708071818
45,9.599999999999984,6,0.044588998753034244
46,9.699999999999983,5,0.060133655668424615
47,9.799999999999983,4,0.07429812316184647
48,9.899999999999983,4,0.07296186140448445
49,9.999999999999982,4,0.0742925208980247
50,10.099999999999982,4,0.0742925208980247
51,10.199999999999982,3,0.07737508577963277
52,10.299999999999981,2,0.08327193261755471
53,10.39999999999998,2,0.08499056297769136
