,clusters,ch
0,164,4766.174859471139
1,115,5013.359074308414
2,74,5279.883848108933
3,49,6072.245853478726
4,32,6237.7103668782565
5,27,6359.455740459701
6,19,7375.308637330305
7,10,7907.430614983736
8,7,9949.115768930204
9,6,9548.678589821084
10,4,9155.689531481785
