,clusters,ch
0,212,2401.6066174421276
1,154,2379.2223744104813
2,4,8587.141015218474
3,13,10174.297711886344
4,17,8097.085962134969
5,18,7577.714267968375
6,18,9410.307215913097
7,11,8444.870251004928
8,5,9813.610792576834
9,6,8206.034401330913
10,4,4359.7946845628385
