,clusters,dbi
0,164,1.3926171917165096
1,115,1.4330816996525049
2,74,1.7718354503378955
3,49,1.7061224857103345
4,32,1.7150296486675982
5,27,2.014260130393831
6,19,2.0582691009651235
7,10,2.1915750599698343
8,7,2.885415324168211
9,6,2.6113101830138628
10,4,2.4677827920151314
