,eps,clusters,dbi
0,5.1,152,1.4718687785609843
1,5.199999999999999,145,1.4654999943539972
2,5.299999999999999,134,1.4848566181824407
3,5.399999999999999,122,1.4830371501591946
4,5.499999999999998,115,1.4773847312844317
5,5.599999999999998,110,1.451171818058419
6,5.6999999999999975,101,1.4747958489670214
7,5.799999999999997,93,1.4389589622513832
8,5.899999999999997,81,1.447323433877686
9,5.9999999999999964,74,1.4651992196966561
10,6.099999999999996,68,1.4608849572560034
11,6.199999999999996,63,1.4651835402424207
12,6.299999999999995,58,1.5143255998265186
13,6.399999999999995,53,1.526310708715323
14,6.499999999999995,49,1.5007788374260513
15,6.599999999999994,46,1.4946772113144806
16,6.699999999999994,42,1.5373617686341465
17,6.799999999999994,40,1.5295442177024683
18,6.899999999999993,36,1.4408504234268302
19,6.999999999999993,32,1.4701444173363079
20,7.0999999999999925,31,1.4738151283276841
21,7.199999999999992,31,1.494084290911759
22,7.299999999999992,31,1.5210240683760576
23,7.3999999999999915,30,1.5219030827828322
24,7.499999999999991,27,1.5423737968212967
25,7.599999999999991,26,1.5526802704284706
26,7.69999999999999,23,1.5477208704769503
27,7.79999999999999,22,1.5869221215570377
28,7.89999999999999,20,1.630716580775187
29,7.999999999999989,19,1.6182367428122255
30,8.099999999999989,16,1.6741607272742614
31,8.199999999999989,15,1.6909964684091263
32,8.299999999999988,13,1.7273775808175327
33,8.399999999999988,12,1.7609450505802837
34,8.499999999999988,10,1.8336483007806672
35,8.599999999999987,10,1.8060042856601248
36,8.699999999999987,9,1.735776495305964
37,8.799999999999986,7,1.9799507794273206
38,8.899999999999986,7,1.9126941839569662
39,8.999999999999986,7,1.9078471079329966
40,9.099999999999985,7,1.8634833068694723
41,9.199999999999985,7,1.7569720813860827
42,9.299999999999985,7,1.7549057179530103
43,9.399999999999984,6,1.8658592735876292
44,9.499999999999984,6,1.8658592735876292
45,9.599999999999984,6,1.9996384406261458
46,9.699999999999983,5,2.2930529963135466
47,9.799999999999983,4,2.639899694867976
48,9.899999999999983,4,2.6523383625419
49,9.999999999999982,4,2.5753998014873742
50,10.099999999999982,4,2.5753998014873742
51,10.199999999999982,3,3.0345660751553685
52,10.299999999999981,2,3.5220805956946464
53,10.39999999999998,2,3.413285242499812
