,clusters,silhouette
0,164,6752.8505907863455
1,115,7280.310501527628
2,74,8087.616501842314
3,49,8922.190354755734
4,32,9991.090764490247
5,27,10514.367572298173
6,19,11520.929468059248
7,10,16293.839264633621
8,7,18879.008050354587
9,6,19599.80202898249
10,4,21207.720829222606
