,clusters,vi,silhouette,dbi,ch
0,164,-1.0,0.3754046278688696,1.3926171917165096,4766.174859471139
1,115,1.6399824521001456,0.3470972674908896,1.4330816996525049,5013.359074308413
2,74,1.5602149009797548,0.3041491407431659,1.7718354503378957,5279.883848108933
3,49,1.7124714623036423,0.2716129881139013,1.7061224857103343,6072.245853478727
4,32,1.941178921892516,0.2194514040346314,1.7150296486675982,6237.7103668782565
5,27,1.858708858808514,0.2000170570037838,2.014260130393831,6359.455740459701
6,19,1.9772850316891304,0.1867057159468919,2.0582691009651235,7375.308637330305
7,10,2.706724258971465,0.1210796255375641,2.1915750599698343,7907.430614983736
8,7,2.2130306799242825,0.1374839808785915,2.885415324168211,9949.115768930207
9,6,1.5583147547250595,0.1380583615606384,2.6113101830138628,9548.678589821086
10,4,2.298090722902409,0.0876176959261081,2.4677827920151314,9155.689531481785
